,revenue
1456,6792000
306,100086793
287,6841570
694,5979292
308,21800302
2320,21170563
749,84565230
2815,86175291
1239,9138338
908,2541554
1880,459359555
2380,9304609
1406,4314688
2494,99303
970,10000000
13,95226116
873,10382407
808,32846
2578,2200000
514,53447
2413,660537
409,4104962
2833,60328000
2259,1829917
2823,852336
1225,223003
1655,12000000
1610,9902115
382,2000000
2106,1103757
2187,3193102
1621,1606624
2831,19265302
552,141591324
222,31649
1096,26330482
2754,20381995
8,34327391
1476,11293663
316,118338361
427,2012927
1985,105097
105,16505460
2015,136000000
142,615816
121,448000000
2371,28460702
2865,8927600
1189,2019000
2961,125728258
2600,23598
1657,49002684
115,41604473
1405,36894225
1511,373554033
2492,2861020
2797,8200000
2948,25182929
1596,26488734
2889,39946780
672,3485127
1431,9760104
2172,133000000
591,234748
1402,11472454
888,368744044
1754,1
1366,593683
2396,204594016
213,31000000
2007,2610000
2148,22707064
800,58978653
2480,18800000
2439,26199517
2283,3903479
2662,500000
2711,51000000
273,83761844
71,16756372
1789,11403529
1087,72778712
394,72179579
583,25836616
2080,98185582
1980,4417580
500,741766
2014,392000694
2223,103166989
2979,77477008
2740,162360636
2318,33208099
1259,418961
1742,25480490
205,2801508
733,1954937
2502,28215918
526,17425000
1375,41627431
898,16627188
377,5080409
1726,39673161
2682,4000000
2722,603943
386,12000
198,12372410
1050,29762011
590,9016377
519,28258060
2950,114908830
429,109676311
1083,52970014
207,66000000
491,63215872
1609,1929168
2912,2616503
792,73180723
2019,69307224
1186,680224
1185,810455
2181,43579163
1340,68349884
2232,23450000
83,40400657
2369,154937680
2226,8000000
20,136159423
1378,6754898
1558,5496951
1938,20211394
2837,51029361
1937,25196249
973,78874843
2789,56574
883,77278331
1098,112343513
156,8262833
2276,37473
886,306
2998,171963386
1591,53208180
2478,68729358
2717,110996879
2534,54249294
2117,4
1472,153698625
2648,156974557
458,88923251
2498,2294357
78,35610100
2914,29918745
1056,107559
906,1084939099
1563,30471
2426,1334173
2696,27400000
380,170877916
947,124693
1712,8342132
2756,41597830
715,24188922
1913,1548955
686,86234523
2670,22270
1293,151161491
305,193772504
209,108103450
2011,70200000
2221,4040588
2975,57881056
1537,7000000
885,49579269
1859,32726956
917,3662459
1886,133432856
1660,13275000
191,79700000
1747,18663238
2131,129000000
1265,28208
483,187674
915,61700000
2599,250649836
277,164000000
988,134095253
1987,13200241
1894,849915
1869,100489151
571,16829545
993,28744356
2795,4069090
2946,1027757
585,310000000
2328,30353232
2993,219417255
1349,15395087
2900,486937
674,76932943
2590,44695
855,887029
447,254134910
1419,1179676
2229,5099316
1616,11500000
2258,113493481
2821,21722776
2753,22921898
1716,5101756
2671,14202899
1247,30448000
294,653428261
588,5000000
1281,46
1422,57284237
2349,441306145
1426,107196498
2252,108047131
425,641100
534,46474
1054,14899417
1864,181466833
2504,3960327
1425,391081192
132,2452566
1837,35294470
1825,5765562
421,40996665
2658,25147055
2028,23000000
2989,100202
1368,9000000
556,4878242
2043,29010817
1486,10736401
2679,23057115
570,82719885
352,9500000
91,215339
2562,1028570889
2533,2019009
1170,11129057
2248,102984862
1285,41482207
1702,64227
1468,5000000
1907,112462508
1477,226497209
697,265452
2506,75993061
348,3301446
1644,34522221
2346,50100000
2431,320170008
2168,2500431
1137,15400000
1797,208588
1544,1055287
2836,3878993
2820,500000
1339,4588176
2490,6
453,12534961
913,50068310
1199,416498
1274,8613462
1866,407778013
37,189859560
974,33000000
2770,1405403694
983,61489265
1805,33461269
1961,35456
1418,26279000
1284,21665468
39,14873
2540,3623330
169,24600832
1355,162242962
737,1893139
1590,1031243
2699,192816
1897,54600000
634,44527234
2647,694713380
1918,15240456
1290,12308521
1380,1600000
579,88
328,20529194
1642,333011068
892,386749
1849,18000000
780,3305592
159,18552460
1545,51416464
1933,173000000
2978,1053788
61,14400000
849,8500000
2129,13983
2892,5794184
1043,331000
2496,605562
2260,111731
2121,161025640
1070,6819587
53,17514553
258,2287714
505,10759
752,21350
1978,30199105
2947,263635
2410,18599102
1517,14000000
2997,89456761
2273,21706101
1389,165615285
1266,68411275
2466,26250020
1711,9318
771,18130000
2802,876688482
1807,10785801
2685,17092453
1085,606694
2257,49084830
1532,59389433
1325,3983997
2119,2346150
1812,14393902
1714,2091037
2034,152036382
2423,500000
2434,104507
1681,81452156
2227,363164265
1163,2119994
963,807535
2902,21833
1662,36000000
398,75505856
584,1083282
948,300400432
704,59908565
431,96060858
292,163442937
145,9188
323,161626121
2108,161451538
1165,34786960
1452,65884703
2,13092000
576,48878502
2657,27500000
339,2200000
2539,188126
2935,102000000
925,75143
265,13060843
376,100491683
2022,46221189
1463,7022209
271,162966177
696,20000000
2973,4122748
244,43885000
2813,18340000
476,6375979
2785,10000000
2843,90565421
2298,179943
2448,56359980
2783,102244770
2953,19125401
2982,376597
2159,76578641
250,42700000
413,966214
545,7000000
1193,598645
738,37279439
310,8459458
1979,21888598
893,13000000
1131,1390172
1449,30524763
2907,49042224
15,198
1950,85416905
721,62852
1420,1449945
2633,37664855
981,1744858
1874,1
1539,1759252
2530,86658558
1550,609123048
2422,6347072
363,25762027
2768,111300
182,21830957
985,58840
1990,17768757
1194,1675484
1769,7900000
1675,7237794
1121,31584901
187,921000
619,4971340
1612,154864401
1175,6149791
1182,263920180
2384,671
2715,68696770
614,28900000
1513,1631839
1466,224803475
401,6000000
994,65595485
934,171539887
371,4100000
1922,71000000
2306,41162041
593,11176469
1910,372234864
726,4129250
826,64076736
1674,77516304
687,1382462
2215,105610124
136,120680
2764,1268395
628,6174491
334,3
390,10703234
2309,26589000
1109,44196684
1737,120620
2698,2387127
710,9504139
1039,45250
2714,216166
1850,6538177
2595,75781642
1561,19595031
2757,319285
1594,40855419
2750,14980005
1112,60845711
465,18782400
1560,760883
1223,80547866
1953,31899000
2966,87840042
2348,5262047
1508,13130349
1104,3342697
1988,21486757
338,27610873
215,173965010
1615,210819611
1916,39673162
2514,192330738
2804,2040920
1592,11000000
2240,572809
1684,4864560
2522,5923044
816,41205099
1067,51079064
2003,19165560
274,250821495
2244,85306374
865,9448082
101,313542341
1501,26828365
2149,138259062
171,2585639
107,210000000
1862,66002004
1521,243843127
2987,858591
2202,182379278
2054,4000000
1764,27200000
2033,15309302
1962,42647449
2250,228136
2340,29359216
2575,1000000
1924,415252786
295,5873871
712,120455994
72,8266343
1952,14836
2269,287553595
2561,17000000
2885,147315
481,9400000
2218,7659918
1530,47410000
2115,242295562
1514,52882018
2960,1163967
1490,5000000
1171,54819301
2452,95404397
2429,19158074
2073,49111202
2216,5659286
2271,3764219
405,125586134
757,163733697
1956,1200000
2184,18000000
1951,2628241
97,73000
1333,15504
2389,20000000
743,39340177
806,18492362
2769,42333295
1896,69823199
2499,160638883
1535,819939
2050,22490039
2010,8153677
148,147214049
2554,152961
2053,258464
1902,230685453
1315,26010864
692,180622424
818,233755553
1728,3665069
1386,9450897
2281,7985929
2733,48093211
1599,696681
2610,11083449
2457,587615
701,98450062
1878,53086
2656,180274123
921,11642254
1424,7840873
1708,48668907
905,92823546
454,3790493
2185,7191399
2304,390493908
1771,16700000
167,144216468
730,1999955
2188,1980338
1310,18000
26,13835130
2059,8555008
1652,4710749
1622,43719
587,312242626
2016,28341469
997,103911669
1176,25005257
1700,7286388
1040,5446000
33,7171
1809,163794509
2626,55987321
1379,17804565
41,16217773
1791,15298355
2189,3200000
2606,176885658
1972,415440673
2289,71368
1925,311245
609,273644
1132,230884728
28,5849647
441,1986615
2355,23875127
2798,719968
493,37803872
1258,6132924
1301,204660
2365,794452
1382,867714
1304,921974
236,5600000
551,104399548
520,18195610
2446,10400000
1232,473993
1138,30
720,4469460
735,58662452
2653,54215416
1750,6933459
58,119563
631,1500000
1181,222231186
2203,1896244
592,44703995
1303,9600000
1387,205703818
2615,11798616
2630,17986781
1845,14697005
939,2227000
2788,1337274
1249,419651413
904,202026112
2543,12706478
1279,2228115
2402,170268750
2959,4600000
2126,863416141
2387,886686817
2042,300228084
1142,8247943
2381,494506
706,14363400
2641,6166819
1022,44057737
745,19777647
1546,519535
2357,662845518
2046,5363000
513,101646581
81,11588205
2661,100525432
1308,3646994
2495,3200000
914,4600000
1404,6804016
1647,78054825
2760,13380561
1108,114178613
150,18
2726,38058335
774,3317662
329,384335608
6,85446075
943,28023563
822,170128460
734,1023784195
909,30668
468,318982
181,20957001
164,62771059
1523,1831348
451,1787926
490,1725381
2004,15071514
1143,10462500
1311,28350000
2242,132820716
1111,129795554
2854,5777916
1977,9069
1441,3775000
1889,13204291
1006,30
1627,28400000
1632,19010585
1074,10000000
578,12434778
2727,171760
2345,13022756
2263,7965
2302,65335
327,60965854
1790,19905359
442,832735
1858,7096000
2170,15656193
2832,123384128
832,374218673
2374,52604
2103,107217396
1414,65754228
1201,71009334
2314,455815
1499,33245
2877,51973029
86,106260000
1403,44352417
2926,41098065
1481,43493123
777,331957105
799,177238796
1666,5887457
54,46069568
2362,35022
1287,2594000
1667,596349
2586,12368234
2154,9713500
1701,7424
1245,2736000
113,51684798
2806,86369815
987,23570541
501,52034889
2891,28128670
1009,56505065
1198,85
1394,209154322
589,5684789
768,2262223
17,1234254
1042,347451894
1447,3000000
2463,106498
285,1614266
2638,188441614
428,1258000
1328,1373728
1948,204
669,76578911
31,36000000
1341,196114570
722,7399763
951,20080020
1914,12923936
2293,20497844
214,1969193
989,1675706
1164,53898845
2792,77628265
2005,18591272
326,116400000
560,16136
1383,178127760
1724,27634716
1086,1221366
2683,57469467
341,60527873
1653,11341016
147,86758912
2339,7100000
2412,44806783
1107,8352885
848,18000000
966,30229977
1072,7390108
2464,424208848
1905,15429177
155,109862682
665,10
661,10016934
1002,21284514
2341,72527595
2516,12173470
176,14828081
2654,60726164
1879,251171807
1524,243637091
2817,6575282
1203,127666415
24,4947717
2810,8034
2809,9771658
2077,1501785
2299,264118201
875,50159144
2899,354248063
938,1938
2697,11000000
1552,135130999
346,87416021
2507,5967038
2971,15379253
2037,130000
1926,195312802
385,229736344
1829,19776159
2161,153083102
2508,14624826
2196,773228
243,17519169
2086,12036149
1826,24078196
936,14000000
1689,457163
2580,45431
312,12
1459,4159678
2925,142817992
2107,908847
1332,836297228
968,163403799
1454,31670620
660,132511035
1934,59468275
935,4215859
370,1192322
566,7900000
1973,2120439
1854,18803648
1024,20045115
824,103951461
982,12118661
2672,30536013
2956,11949484
1645,3692836
2582,8
2245,30411183
2118,10011050
813,21000000
1792,8349430
1430,23727301
778,29252978
1749,26144
1320,470490832
2399,15
2871,23367586
1052,10541523
2321,4905000
1013,22750363
1928,117719158
1401,212000000
1822,2826523
2247,31327899
2493,8679814
2591,40263020
126,15500000
2091,22044277
2134,300257475
887,54586584
2456,6856989
1347,169852759
1007,60
355,393970
1003,1841260
1483,79799880
682,46405336
827,150000000
2850,20300000
2204,28169671
2691,13555988
984,46216641
1233,21032267
2553,3721911
1639,78247647
140,14000000
217,85300000
2465,6928068
362,5249225
2664,55707411
345,14681192
2058,347434178
22,100345
711,4385312
2949,6000000
10,117235147
2416,6341684
1834,102780
793,10959475
2765,11990401
94,20117339
129,5731103
1900,266000000
2409,48814909
1932,51854875
2669,346079773
1865,85241496
1658,83398
516,6000000
1857,1805884
1277,41232
950,8251071
1120,32222567
419,5000000
922,35348597
2728,646714
477,4267218
2035,550000000
2177,61141030
1692,2297493
2212,32204030
1471,102308889
1202,17000000
1669,58510
2774,6700000
1970,7500000
820,9221
1997,44332015
2868,143451
1248,96889998
2872,14723313
2649,2620000
1046,1519796
1888,11000000
615,1107542
1318,11715321
2884,331816
2460,82466670
1772,262797249
2951,18704595
131,5206
77,39846344
2052,385284817
724,709827462
1314,6341855
1851,38574362
2296,188133322
2486,93945766
1372,17277
1855,24377151
1319,495303
2874,25
2171,71904
375,17374595
1908,152427960
333,3225000
2251,8
2736,16775
1604,7175592
1118,107879496
2828,56000000
1943,26155781
2261,4557214
2549,1524966
1342,1113277
320,750000
1619,80049764
2447,231411584
2060,32483410
1673,1004558444
1942,10018
260,187349
2354,31179516
2039,10113733
689,850000000
901,52164
2026,10499694
138,3065860
1917,1
1828,56714147
1573,973525
319,68706993
653,99000
2137,1037335
2322,1123746996
558,46152411
112,93820758
531,226286
224,500
723,1044824
2428,34585416
2570,305875730
1433,14743391
2329,4820000
1458,3031801
2701,6892098
846,7227038
193,13168027
1464,55635037
946,278731369
2021,260354
1629,170832
117,253625427
645,1000000
1870,10400000
3,16000000
74,2300000
1755,9216
467,13620075
5,3261638
1246,40272135
919,3832228
228,638641
1063,748806957
242,80768
2279,31609243
1160,2636637
2513,12000000
1526,63781810
1605,5809330
2784,34967437
2666,54674226
2665,71624879
1989,5900000
2609,3919254
1975,393816
1761,1506249360
1305,25739015
1541,3
622,4073489
2313,114956699
1493,13818181
110,67631903
2487,2948386
1169,87404651
2461,240093
232,2225098
66,204940
2707,17292381
2072,1822250
2192,156844753
536,19184015
125,7400000
2133,11087569
1254,404
2484,30399676
1976,52099090
2462,6212282
2488,102391382
2075,74918
484,3335984
1654,1261947
2676,5300000
2550,31911598
2405,3003
1774,74558115
918,5100000
1646,35739755
1026,27635305
1030,21107746
882,149217355
1335,31000
2222,50000000
364,60289912
2125,164508066
27,7847000
473,23000
525,25345000
725,71561644
55,36448200
638,1400000
302,2945242
2608,7060876
1276,40239
2635,22424195
624,84772742
2055,57096190
1280,19204593
1049,218340595
336,117698894
47,155760117
106,15134293
1079,6860853
1144,14947
2440,56308881
1836,73174566
1753,20666
1101,119919
1968,208076205
523,122700000
1428,78309131
2607,25900
603,53478166
1489,401421
2351,333000000
60,599045960
2749,1803009
671,5900000
92,15000000
666,958400000
1887,573335
280,10
1719,2804874
359,93525586
899,19000000
1935,123494610
1994,47267001
2312,3117985
760,24793509
2158,34808403
2622,37641
42,24362772
2173,9500000
204,10000000
1473,255273813
2100,19255873
68,13129846
1875,68514844
2379,6086508
2231,3533227
137,4350774
796,33579813
2180,156822020
2128,8373585
758,24134
541,7993039
1019,6272403
2288,6101904
165,25000
248,147080413
1331,1347747
2017,8138788
446,875386
1358,101300000
2145,22433275
1329,1942423
2910,2279000
2150,3919731
434,11130889
2122,166775
577,7800000
2984,116643346
2741,2725258
1848,72070731
762,70000000
388,2128186
235,27297451
2605,221295
1984,225990978
267,3151130
770,25035950
2165,10076790
437,160583018
673,38376497
249,14560084
2201,6147
1574,6700
2142,4905000
2081,49797148
2617,611899420
2903,18928871
2739,631442092
448,315156409
1469,1317657
716,17953778
2398,20275812
2614,72700000
2048,6455530
1901,251058
1168,32788
82,91974818
2424,73648228
1460,102000000
1893,6000000
1668,7830611
2000,16928137
475,1612100
517,123726688
404,8143225
384,100230832
2981,93000
2152,20342161
1633,133949270
2859,25034000
688,11294
1240,126
62,25232289
852,152761
2751,29355203
2476,212385533
1262,2970
223,352927224
2193,1461989
373,10609321
1824,4750000
2536,14200000
2869,54837234
2597,16757163
2684,4300000
9,18750246
1944,20471382
1838,586090727
708,206172544
255,7800000
1617,3537961
389,195745823
1581,25800
924,850259
2036,355237933
2403,15691192
1224,142337240
1946,4069826
739,158733820
40,163000
868,108539911
539,621951
2510,532269
1371,1919197
1145,84500122
1031,11125849
372,91753202
667,340911
357,788241776
967,15119639
1353,102820008
1035,30127963
470,1672730
1396,149044513
2620,100000000
1549,230069
1256,44350926
2094,2802459
1555,19179969
2589,68915888
1250,5476060
1699,117760134
1252,17381942
2780,64350171
79,779820
1172,2681345
814,42277365
1852,3090862
2220,8220215
2628,1185783
2105,426224
133,211780824
1140,229400000
933,174822325
928,641
823,1250000
1531,189712432
1214,215576
504,11750000
2964,589244
2395,248392
1996,69411370
1958,389503
1384,132675402
894,100020092
828,7266209
2920,4275
1683,1878561
2574,3251794
2969,87754044
2512,50671850
652,49501
172,12000000
38,92100
2860,77737889
713,10166502
90,180949000
2954,13395939
1205,50244700
2585,1406224
1827,33053559
1155,5332926
1324,235432
216,83061158
510,9600000
1680,900000
499,473226958
2548,39768000
1856,400062763
1388,31894
1519,82703
2386,21700000
2721,123509
2076,4542
1540,4719695
1217,330444045
1416,17530973
2217,196781193
2621,28733290
1676,2070806
1197,846704
1542,29456000
953,73244881
750,50451307
234,8574339
732,11220670
2992,1213880
1156,1750211
2573,8690429
2445,32155047
1209,83557872
1065,311312624
2156,75715436
1062,1404
1167,30658387
1492,147780440
2474,79
884,18315000
143,382174
2942,117629
850,48027970
717,14683921
2864,100
264,143597
75,24922237
395,900689
2545,50548152
2224,536364
2799,134748021
396,32230907
1365,56825
2500,19829957
1903,4800080
595,214000
2109,502758
1296,33000337
1821,62153
872,3106835
2911,78000586
2326,783112979
1548,500000
36,151559
2526,33697647
2143,15179302
2940,102000000
977,12935800
1571,84601681
1122,59612888
2239,91000000
1892,40105542
675,11411644
728,16656125
412,97594140
1516,163670000
1649,2697930
825,15992615
616,170000
114,871368364
417,373530
1625,73762516
2939,120000
89,140081992
2082,2506446
753,58853106
1630,604942143
11,22642033
2444,694497
284,48126384
1066,9584131
1191,46089287
1440,14481606
2801,31815
2800,91354215
2710,3100000
1568,11263966
2427,1347988
2577,97
1687,1718328
851,2042530
2207,261317921
895,5438927
496,3600000
2305,51680201
1782,1305195
335,38307627
515,21133087
1348,14717854
1015,21000000
2808,70136369
2803,33082548
1781,5602431
1785,268431
2070,10878107
356,119269486
2852,6483963
1312,90259536
1635,13273595
550,97837138
2388,95714875
2479,56702901
2521,74134790
2265,500000
1227,2200000
2822,41637263
957,1479042
1773,1133031
2141,84025816
1008,19472057
1092,3082901
2674,2295423
996,77000000
1679,248000000
153,52425855
2782,77745568
580,8033397
1470,1730000
703,500000
1212,13269963
896,114194847
487,3468423
559,37799643
1141,11
1119,35287788
512,2500000
633,330579719
2584,47000000
1664,90383208
1012,115350426
1931,50892160
1150,9250000
2805,2275557
116,311
740,2692037
2763,27053815
1974,20000000
1081,120207127
1810,2293798
830,161000000
119,18814720
656,20079850
2732,485772
2692,40903593
2932,20000000
635,20158808
369,64110728
268,23937870
46,660940780
991,49667
876,42160849
773,48752
1219,1296184
1126,1519557910
4,3923970
1595,102617
2311,63833449
2491,10474
1077,22471595
837,378858340
681,11000000
1715,369907963
2352,79666653
2361,12000000
2197,6800000
1148,129042871
574,211952420
50,1500000
853,36611610
1982,190458706
1823,173066
833,65497208
1115,185438673
1166,8500000
2518,201596308
1906,200406
971,318000141
399,7820688
2559,38862717
2368,7865
19,85167639
684,1262886337
35,40346186
2829,2033165
524,8500000
2455,549368315
920,2683519
1841,6405245
1890,320395
537,335062621
1705,7218340
2931,36754634
245,18755936
784,12416686
1409,108083
2537,4811525
154,5091888
1686,9012000
625,146900000
2876,17380126
1346,5
569,3900000
2933,74608570
1758,718490
1816,288312
2065,12342632
127,12008642
2977,29700000
2006,11348324
980,91188905
2974,10442808
190,16675000
1139,444098
992,3202000
699,124827316
606,228984
180,31148328
301,2850000
2544,42792561
2775,539896
1060,43984230
2819,3091922
2878,18999718
2565,21567853
1069,5596708
2524,396003
2205,98410061
1243,716392705
16,57891803
2980,2500000
546,105834556
658,754249
2704,16093651
2735,11657385
1504,286201
959,65088797
2331,35057696
797,4631
225,6585516
2074,404785
1799,66995253
2485,362637473
2962,57330873
2277,292279
2085,11000000
1693,42000000
1045,320145693
469,115103979
954,1982505
2976,15427192
639,8
2778,190320568
1218,3218666
1158,174578751
1415,20374201
2713,57059003
1527,2260622
2921,2608000
1300,116980662
2866,457363168
1603,17280326
160,113783
1704,89162162
956,1301696
2915,351692268
877,38502340
1919,2043704
1884,23
2200,280000000
98,23000000
2827,10224116
2557,7011317
253,30292
103,5310554
1445,25312387
1443,10755447
1648,10300
586,4400000
627,29251596
1696,5000000
2101,1332231
2199,33889159
403,1469
1154,16519460
2255,100
1682,13276953
2056,285176741
2844,6614280
452,1009620
2301,1110566
1327,27122040
2049,139804348
880,1072602
2918,1700000
623,137298489
2393,694438
2772,3324330
1787,382267
262,17636261
1634,200182160
1438,2459895
2198,179000
1969,343341
2520,90614445
1802,42886719
640,73956241
2385,25893810
2598,7241180
2830,665450
1959,500000
488,108782847
1843,5405313
1734,244527583
146,19510371
1534,140987
1986,357852395
1369,49000000
2450,1300000
2936,9392
659,8135031
1794,10654385
2511,25966555
186,3833507
1147,1751330
608,31576
2191,48190704
1930,162091208
197,77920346
2327,73326666
293,310724
766,24719215
400,58405313
122,5585154
202,110000000
835,1305887
2294,147542
1439,90426405
1733,34100000
1695,224511319
2928,6263883
1707,17432163
2913,2270658
1153,60641
1661,35856053
2432,580527
1759,276572938
854,2411594
1589,3384747
2267,90508336
641,97437106
1,95149435
2160,17671101
698,9077700
1636,1697294
1291,27187653
2856,24186232
2489,40120144
1520,21134374
1853,50504655
1136,50673078
2898,178051587
1631,34533783
1998,119940815
663,18112929
683,183293131
1257,337812
317,286140700
648,16300000
1434,23859
1479,125
709,10400000
1282,6000000
1768,76514050
972,70600000
2675,1862805
2680,966878
1306,64437847
1400,346864462
1408,23978402
2237,2691899
1496,202466756
2038,43848069
1529,1079726
1663,15502112
1354,422
2924,2402067
2944,89460381
1643,311256926
1051,17487531
795,20560255
2693,33456317
1597,66468332
2604,14166853
2729,498814908
2625,52761
1819,314195
1722,51070807
1183,8303261
2572,278300000
1059,191185897
540,128388320
1678,770706
2796,6775121
2955,29536299
2532,1021103568
1757,639000
1923,6000000
95,14353
1020,87600000
563,36606743
2790,145896422
863,2642899
1484,76586316
1881,20240128
1038,245623848
206,1543112
392,126463
2842,17297244
870,6101046
397,1919653
2814,1547397
2882,6659377
1028,1778391
2690,69055695
1485,2807390
2660,30471420
960,83027924
1570,93600000
2773,116672912
1895,3000000
2731,278019771
2146,181107
804,135680000
1751,14054361
2454,44000000
502,316472
779,55447968
1863,3338228
200,144000000
2182,32287044
2088,2841000
2278,7103973
1796,95000000
378,19478106
2336,66132626
418,4601043
1698,120081841
391,9868942
2640,25434291
1522,243000
1162,31063038
1495,2154540
2695,10000000
2027,2640850
1152,50750000
1367,7000000
2568,14056528
64,17654912
2062,288500217
1180,100659
492,66351
379,830129
2235,1400000
763,531865000
2264,216614388
791,222300000
1076,15000
878,3572443
337,9833553
2767,136150434
2343,2400000
1016,114830111
1275,25000000
455,4910682
815,60740827
2317,41895491
995,1530216
1981,23042200
201,3916303
161,12277096
1579,121059225
2777,17300889
2449,36779296
702,235483004
1500,408247917
1129,2850263
2613,8888143
1021,108000000
1585,12382362
1955,243240178
2253,307076
34,258022233
775,7732325
2556,148426
1478,4634062
1390,68106245
2139,105200903
1363,10000000
2612,130786397
2824,46264384
2041,262921
241,18662027
2061,161834276
2363,58620973
600,356830601
2435,3956913
1297,1238080
2214,10903846
2888,21750000
2068,4100000
646,94000000
1528,21026290
2879,21300000
1267,46488
1899,355962
562,196482882
2734,97552050
189,16337881
1806,46495
975,39300000
2747,2003822
2047,10130000
2558,48428063
1082,985007
474,6500000
2904,16491080
747,11122090
2300,8176544
21,36690067
459,25405445
1184,307166834
2324,132274484
955,1832541
1215,9930095
2433,32
2853,9190819
1515,84785914
2391,141195658
769,4192440
1685,159330280
130,9800000
2919,13000000
2135,1045713802
1482,62022014
330,5588800
1238,30553394
466,270000000
2169,23800000
1638,30231200
1095,352194034
1130,126737428
1294,21049053
860,14782676
