,budget,popularity,runtime,revenue,homepage_bool,belongs_to_collection_bool,en_film,procoun_num,usa_production,lang_num,released,has_tagline,cast_size,crew_size,year,month,genre_name,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,None,Romance,Science Fiction,TV Movie,Thriller,War,Western
10,1000000.0,14.774066,119.0,117235147,0,1,1,1.0,1,1.0,1,1,37.0,31.0,1976,11,['Drama'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,,10.54375,98.0,22642033,0,1,1,4.0,1,1.0,1,1,14.0,2.0,1987,7,['Comedy'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,15000000.0,20.726578,122.0,356296601,1,0,1,2.0,1,1.0,1,1,40.0,109.0,1999,9,['Drama'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,53000000.0,13.314233,118.0,95226116,0,1,1,4.0,1,2.0,1,1,59.0,18.0,2005,3,"['Comedy', 'Crime']",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,102000000.0,20.666063,145.0,358372926,0,0,1,7.0,1,2.0,1,1,23.0,156.0,2002,6,"['Action', 'Thriller', 'Science Fiction', 'Mystery']",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
15,500000.0,1.018477,97.0,198,1,0,0,1.0,0,1.0,1,1,13.0,25.0,2010,10,"['Action', 'Crime', 'Drama']",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,26000000.0,6.336927,85.0,57891803,0,0,1,3.0,1,2.0,1,1,24.0,35.0,2005,8,"['Horror', 'Thriller']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
17,,4.183558,111.0,1234254,0,0,1,4.0,0,1.0,1,1,19.0,31.0,2013,12,"['Drama', 'Romance']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
18,8000000.0,6.496259,96.0,1749457,0,0,1,4.0,0,2.0,1,1,23.0,2.0,2011,2,"['Comedy', 'Romance']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
19,32000000.0,11.359659,87.0,85167639,0,1,1,7.0,0,3.0,1,1,10.0,17.0,2005,8,"['Action', 'Thriller', 'Crime']",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20,80000000.0,12.000579,130.0,136159423,0,0,1,4.0,1,1.0,1,1,20.0,120.0,1998,4,"['Adventure', 'Family', 'Science Fiction']",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
21,4000000.0,7.99229,95.0,36690067,0,1,1,2.0,1,1.0,1,1,16.0,11.0,1982,8,"['Horror', 'Thriller']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
22,,7.820787,116.0,100345,1,1,1,3.0,1,1.0,1,1,30.0,19.0,2012,7,"['Thriller', 'Horror']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
23,,1.323333,92.0,17011,1,0,1,3.0,1,1.0,1,1,19.0,10.0,2011,9,"['Thriller', 'Mystery', 'Foreign']",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
24,,7.434577,87.0,4947717,1,0,1,2.0,0,3.0,1,1,13.0,10.0,2006,9,"['Horror', 'Comedy']",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
25,,1.252367,95.0,8403433,0,0,1,4.0,1,1.0,1,1,15.0,14.0,1992,10,"['Comedy', 'Horror', 'Mystery', 'Thriller']",0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
26,10000000.0,4.305735,110.0,13835130,0,0,1,4.0,1,1.0,1,1,6.0,18.0,1997,9,"['Crime', 'Drama', 'Mystery', 'Thriller']",0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
27,11000000.0,10.841891,93.0,7847000,0,0,1,3.0,0,1.0,1,1,24.0,15.0,2013,9,"['Drama', 'Comedy', 'Romance']",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
28,6000000.0,6.759181,84.0,5849647,0,0,1,4.0,1,2.0,1,1,33.0,18.0,1986,8,['Animation'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,45000000.0,7.81862,89.0,94935764,0,0,1,1.0,1,1.0,1,1,11.0,8.0,2002,4,"['Action', 'Adventure', 'Crime', 'Thriller']",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
30,13000000.0,16.086919,112.0,426480871,0,0,0,8.0,0,2.0,1,1,32.0,34.0,2011,11,"['Drama', 'Comedy']",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,,5.69586,117.0,36000000,1,0,0,15.0,1,1.0,1,0,14.0,18.0,2005,5,"['Mystery', 'Drama', 'Thriller']",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
32,90000000.0,13.412445,106.0,146936910,1,0,1,7.0,1,1.0,1,1,22.0,92.0,2015,10,"['Fantasy', 'Action', 'Adventure']",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33,,8.254856,125.0,7171,0,1,1,3.0,1,7.0,1,1,31.0,59.0,2014,10,['Horror'],0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
34,140000000.0,9.718111,91.0,258022233,0,1,1,1.0,1,5.0,1,1,18.0,18.0,2007,8,"['Action', 'Comedy', 'Crime', 'Thriller']",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
35,30000000.0,8.234382,94.0,40346186,1,0,1,5.0,1,3.0,1,1,15.0,34.0,2012,4,"['Action', 'Crime', 'Thriller']",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
36,,2.100499,105.0,151559,0,0,1,3.0,1,1.0,1,1,15.0,2.0,2000,1,"['Comedy', 'Romance']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
37,50000000.0,13.676444,127.0,189859560,0,0,1,4.0,1,3.0,1,1,14.0,13.0,1995,3,"['Action', 'Drama', 'Science Fiction', 'Thriller']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
38,,0.32926,90.0,92100,1,0,1,2.84634317862166,0,3.0,1,1,5.0,2.0,2013,9,['Thriller'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
39,3800000.0,3.055936,123.0,14873,0,0,1,2.0,1,3.0,1,0,14.0,12.0,1965,4,"['War', 'Western']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
40,,2.941626,118.0,163000,1,1,1,1.0,1,1.0,1,1,6.0,1.0,2006,4,"['Action', 'Documentary']",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,3000000.0,9.718713,126.0,16217773,0,0,1,2.0,1,1.0,1,1,32.0,28.0,1967,6,"['Crime', 'Drama']",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,25000000.0,2.971999,108.0,24362772,0,0,1,2.0,1,2.0,1,1,11.0,12.0,2000,3,['Comedy'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,6000000.0,9.383088,92.0,1020921,0,0,1,3.0,1,1.0,1,1,32.0,12.0,2014,9,['Drama'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,15000000.0,5.615303,88.0,47175038,1,0,1,3.0,1,1.0,1,1,10.0,12.0,2005,2,"['Comedy', 'Romance']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
45,3906840.0,2.382068,95.0,4300000,0,0,0,2.0,0,2.0,1,1,15.0,7.0,2009,10,"['Crime', 'Drama', 'Mystery', 'Romance', 'Thriller']",0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0
46,80000000.0,16.646029,91.0,660940780,1,1,1,2.0,1,1.0,1,1,42.0,10.0,2006,3,"['Animation', 'Family', 'Comedy', 'Adventure']",0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
47,44000000.0,20.328822,167.0,155760117,1,0,1,3.0,1,2.0,1,1,18.0,77.0,2015,12,"['Crime', 'Drama', 'Mystery', 'Western']",0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
48,,8.984386,94.0,653951,0,0,1,1.0,1,1.0,1,0,44.0,31.0,2017,3,"['Drama', 'Comedy']",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,38000000.0,8.105708,118.0,120000000,0,1,1,1.0,1,1.0,1,1,17.0,15.0,1994,11,"['Science Fiction', 'Action', 'Adventure', 'Thriller']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
50,560000.0,1.572904,102.0,1500000,1,0,0,2.84634317862166,0,1.0,1,0,9.0,2.0,2008,1,"['Romance', 'Drama', 'Comedy']",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
51,12000000.0,4.473327,160.0,25333333,0,0,1,1.0,1,2.0,1,1,17.0,6.0,1965,7,"['Adventure', 'Comedy']",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,,1.012665,97.0,11000000,0,0,1,1.0,1,1.0,1,1,13.0,7.0,1980,6,"['Adventure', 'Family']",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
53,,5.410839,98.0,17514553,1,0,1,1.0,1,1.0,1,1,9.0,4.0,1988,1,"['Drama', 'Family', 'Romance']",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
54,20000000.0,8.759801,107.0,46069568,0,0,1,4.0,1,1.0,1,1,30.0,21.0,2016,2,['Action'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,,9.122718,95.0,36448200,0,0,1,1.0,1,1.0,1,1,9.0,3.0,1993,7,"['Comedy', 'Drama', 'Romance']",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
56,,2.94798,97.0,1056938,1,0,0,1.0,0,2.0,1,0,9.0,3.0,2009,8,"['Comedy', 'Drama']",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,125000000.0,17.038824,125.0,238207122,0,1,1,2.0,1,1.0,1,1,14.0,105.0,1997,6,"['Action', 'Crime', 'Fantasy']",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
58,,1.882446,95.0,119563,1,0,1,1.0,1,1.0,1,0,5.0,1.0,2008,6,"['Music', 'Romance']",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
59,14000000.0,3.909079,95.0,25482931,0,0,1,1.0,1,2.0,1,1,7.0,1.0,2002,3,"['Action', 'Adventure', 'Comedy']",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,150000000.0,23.065078,144.0,599045960,1,1,1,3.0,1,2.0,1,1,79.0,126.0,2006,11,"['Adventure', 'Action', 'Thriller']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
61,4000000.0,1.801071,105.0,14400000,0,0,1,1.0,1,2.0,1,1,15.0,9.0,1956,5,['Drama'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,,6.381612,124.0,25232289,0,0,1,2.0,1,1.0,1,1,10.0,48.0,1998,1,"['Thriller', 'Fantasy', 'Crime', 'Drama']",0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
63,5000000.0,7.743144,100.0,14000000,0,1,1,3.0,1,1.0,1,1,16.0,7.0,1989,7,"['Horror', 'Thriller']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
64,12000000.0,11.160699,115.0,17654912,0,0,1,2.0,1,2.0,1,1,14.0,69.0,2013,9,"['Drama', 'Adventure']",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,1500000.0,8.822276,92.0,11806119,0,1,1,1.0,1,1.0,1,1,9.0,12.0,1988,2,['Action'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,12000000.0,5.145185,108.0,204940,0,0,1,2.0,1,1.0,1,1,16.0,12.0,2010,1,"['Crime', 'Comedy']",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,,6.303552,133.0,154120,0,0,0,3.0,0,2.0,1,0,7.0,5.0,2013,10,['Drama'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,2000000.0,14.284787,129.0,13129846,0,0,1,1.0,1,1.0,1,0,56.0,34.0,1962,12,"['Crime', 'Drama']",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,85000000.0,2.238808,104.0,158468292,1,1,1,1.0,1,2.0,1,1,56.0,57.0,2006,6,"['Action', 'Crime', 'Drama', 'Thriller']",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
70,29000000.0,12.092096,103.0,21126225,0,0,1,7.0,1,1.0,1,1,22.0,20.0,2005,3,"['Drama', 'Mystery', 'Thriller', 'Fantasy']",0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
71,,7.667491,126.0,16756372,1,0,0,8.0,1,2.0,1,1,13.0,11.0,2004,2,['Drama'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,11000000.0,8.290384,85.0,8266343,0,0,1,2.0,1,1.0,1,1,15.0,7.0,1990,4,"['Comedy', 'Music']",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
73,,0.919556,90.0,17393,1,0,0,2.84634317862166,0,1.0,1,0,6.0,5.0,2004,3,"['Crime', 'Documentary']",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,445000.0,2.482536,84.0,2300000,0,0,1,1.0,1,1.0,1,1,16.0,12.0,1976,3,"['Crime', 'Drama']",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,17000000.0,9.665251,106.0,24922237,1,1,1,1.0,1,1.0,1,1,16.0,10.0,2011,8,"['Horror', 'Comedy']",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
76,500000.0,0.660663,157.0,500000,0,0,0,2.84634317862166,0,3.0,1,0,11.0,7.0,2000,5,"['Drama', 'Romance', 'Foreign']",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
77,6000000.0,10.451986,98.0,39846344,0,1,1,2.0,1,1.0,1,1,55.0,9.0,1980,7,['Comedy'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,,2.633399,122.0,35610100,0,0,1,2.0,1,1.0,1,1,15.0,13.0,1981,12,"['Crime', 'Drama', 'Action', 'Thriller']",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
79,1500000.0,6.636625,102.0,779820,1,0,1,5.0,1,3.0,1,1,31.0,80.0,2016,9,"['Horror', 'Thriller']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
80,15000000.0,4.98408,118.0,9237470,0,0,1,6.0,1,1.0,1,1,17.0,22.0,2002,12,"['Action', 'Crime', 'Drama', 'Thriller']",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
81,10284523.0,4.349046,104.0,11588205,0,0,1,4.0,1,2.0,1,0,11.0,12.0,2005,10,"['Comedy', 'Drama', 'Romance']",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
82,43000000.0,10.947957,104.0,91974818,0,0,1,6.0,1,1.0,1,1,20.0,99.0,2005,7,"['Drama', 'Horror', 'Mystery', 'Thriller']",0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0
83,28000000.0,7.482865,116.0,40400657,0,1,1,1.0,1,2.0,1,1,18.0,32.0,1984,12,"['Thriller', 'Science Fiction']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
84,2000000.0,10.239941,85.0,13101672,0,0,1,2.0,1,1.0,1,1,6.0,7.0,2011,1,"['Horror', 'Mystery']",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
85,50000000.0,7.260574,109.0,152022101,0,0,1,2.0,1,2.0,1,1,21.0,9.0,1995,6,"['Action', 'Adventure', 'Drama', 'Mystery', 'Science Fiction', 'Thriller']",1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
86,8000000.0,9.741644,105.0,106260000,0,0,1,1.0,1,1.0,1,1,19.0,33.0,1979,12,['Drama'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,7500000.0,12.314278,91.0,32392047,0,0,0,2.0,0,2.0,1,1,9.0,4.0,1995,1,"['Crime', 'Action', 'Comedy', 'Thriller']",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
88,20000000.0,13.655178,126.0,13162475,1,0,1,3.0,1,1.0,1,1,41.0,21.0,2017,3,"['Drama', 'History']",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
89,,4.359884,109.0,140081992,0,0,1,3.0,1,1.0,1,1,13.0,20.0,1993,2,"['Drama', 'Thriller', 'Mystery', 'Romance']",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0
90,30000000.0,25.261865,111.0,180949000,1,1,1,3.0,1,3.0,1,1,36.0,161.0,2003,10,"['Action', 'Crime']",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,,3.83196,106.0,215339,0,0,0,2.0,0,2.0,1,0,18.0,3.0,2001,3,['Drama'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,35000000.0,1.690768,135.0,15000000,0,0,1,3.0,0,2.0,1,0,29.0,9.0,1995,9,"['War', 'Adventure', 'Drama', 'Romance']",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
93,,14.322814,96.0,2724474,0,0,1,1.0,0,1.0,1,1,12.0,5.0,2008,5,"['Drama', 'History']",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
94,15000000.0,18.184056,147.0,20117339,0,0,1,5.0,1,2.0,1,1,71.0,17.0,2001,5,"['Thriller', 'Drama', 'Mystery']",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
95,,0.181963,72.0,14353,0,0,0,1.0,0,1.0,1,0,9.0,3.0,2012,12,['Drama'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,2500000.0,2.942355,98.0,3358,0,0,0,6.0,0,1.0,1,0,9.0,10.0,2011,11,"['Action', 'Comedy', 'Thriller', 'Romance']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
97,,1.042112,158.0,73000,0,0,0,1.0,0,2.0,1,0,6.0,10.0,2011,6,"['Fantasy', 'Drama']",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
98,10500000.0,11.003515,90.0,23000000,0,0,0,1.0,0,2.0,1,1,8.0,15.0,2012,8,"['Animation', 'Comedy', 'Adventure', 'Family']",0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
99,6000000.0,5.529808,120.0,46616067,0,0,1,1.0,1,2.0,1,1,11.0,8.0,1988,4,"['Action', 'Crime', 'Drama']",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,7000000.0,7.958502,91.0,9229401,0,0,1,4.0,1,1.0,1,1,14.0,47.0,1990,1,"['Action', 'Thriller', 'Science Fiction', 'Crime', 'Horror']",1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
101,60000000.0,11.93646,135.0,313542341,1,0,1,3.0,1,1.0,1,1,38.0,60.0,2001,12,"['Drama', 'Romance']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
102,,1.066558,102.0,14961069,0,0,0,3.0,0,1.0,1,0,7.0,5.0,2007,8,"['Action', 'Comedy', 'Crime', 'Foreign']",1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
103,,2.401289,121.0,5310554,0,0,1,3.0,1,1.0,1,1,20.0,11.0,2012,9,['Drama'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,,1.590383,117.0,149521495,0,1,0,4.0,0,1.0,1,0,16.0,11.0,2014,2,['Comedy'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,10900000.0,13.454169,105.0,16505460,0,0,1,5.0,0,1.0,1,1,14.0,40.0,2013,9,['Drama'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,31000000.0,6.523155,105.0,15134293,1,0,1,2.0,1,1.0,1,1,25.0,16.0,2010,1,['Drama'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,72000000.0,20.755149,177.0,210000000,0,0,1,3.0,1,4.0,1,1,55.0,67.0,1995,5,"['Action', 'Drama', 'History', 'War']",1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
108,14000000.0,3.873796,97.0,18535191,0,0,1,2.0,1,1.0,1,1,6.0,3.0,1999,4,"['Drama', 'Comedy', 'Romance']",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
109,15000000.0,3.210693,189.0,34562222,0,0,1,1.0,1,1.0,1,1,18.0,13.0,1966,10,"['Drama', 'Adventure', 'Romance']",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
110,75000000.0,13.136791,123.0,67631903,0,0,1,7.0,1,1.0,1,1,10.0,104.0,2001,10,"['Action', 'Comedy', 'Crime', 'Romance']",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
111,35000000.0,5.093704,111.0,22034832,0,0,1,2.0,1,1.0,1,1,20.0,25.0,2004,8,"['Comedy', 'Romance', 'Drama']",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
112,100000000.0,11.696923,122.0,93820758,1,0,1,8.0,1,1.0,1,1,26.0,110.0,2015,11,"['Thriller', 'Drama', 'Adventure', 'Action', 'History']",1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
113,20000000.0,4.619593,106.0,51684798,0,0,1,2.0,1,1.0,1,1,13.0,13.0,1988,3,"['Comedy', 'Drama', 'Romance']",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
114,93000000.0,32.070725,178.0,871368364,1,1,1,3.0,1,1.0,1,1,26.0,30.0,2001,12,"['Adventure', 'Fantasy', 'Action']",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
115,25000000.0,5.00725,86.0,41604473,0,0,1,1.0,1,1.0,1,1,11.0,13.0,2002,5,"['Action', 'Comedy']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,,1.678013,145.0,311,0,0,0,12.0,0,3.0,1,0,17.0,18.0,2012,11,['Drama'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,,11.356011,100.0,253625427,1,0,1,2.0,1,1.0,1,1,17.0,12.0,2007,3,"['Action', 'Adventure', 'Comedy']",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,,4.304224,107.0,1796389,0,0,1,1.0,1,1.0,1,1,20.0,16.0,1993,6,"['Drama', 'Romance']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
119,12716953.0,6.183021,113.0,18814720,0,0,0,1.0,0,3.0,1,1,15.0,10.0,1997,1,"['Crime', 'Action', 'Comedy']",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,90000000.0,8.345985,90.0,347325802,0,1,1,1.0,1,3.0,1,1,16.0,10.0,2001,8,"['Action', 'Comedy', 'Crime', 'Thriller']",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
121,150000000.0,12.453452,88.0,448000000,1,1,1,1.0,1,1.0,1,1,11.0,27.0,1999,6,"['Adventure', 'Animation', 'Drama', 'Family']",0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
